case_id,attack,defense,epoch,round,loss,hr5,hr10,hr20,er5,er10,er20
01_noattack_nodefense,NoAttack,NoDefense,98,360,0.17523,36.26723,57.05196,76.56416,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,99,363,0.17325,37.75186,55.77943,75.18558,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,100,367,0.17131,37.22163,55.77943,75.29162000000001,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,101,371,0.16939,38.49417,56.41569,75.82185,0.0,0.22779,0.45558
01_noattack_nodefense,NoAttack,NoDefense,102,375,0.16753,37.00954,55.14316,75.07953,0.0,0.22779,0.45558
01_noattack_nodefense,NoAttack,NoDefense,103,378,0.16571,37.96394,56.203610000000005,75.50371,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,104,382,0.1639,36.79745,54.294799999999995,75.60976000000001,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,105,386,0.16211,35.52492,56.52174,75.18558,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,106,389,0.16037,37.8579,56.52174,75.39767,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,107,393,0.15866,36.47932,57.158010000000004,74.7614,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,108,397,0.15697,37.32768,55.35525,76.56416,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,109,400,0.15533,37.32768,55.14316,75.60976000000001,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,110,404,0.15369,37.32768,55.037119999999994,74.44327,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,111,408,0.15209,37.645810000000004,56.30965,75.29162000000001,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,112,411,0.15052,37.8579,56.52174,75.50371,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,113,415,0.14897,38.06999,55.885470000000005,75.7158,0.0,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,114,419,0.14747,38.17603,57.158010000000004,75.18558,0.0,0.22779,0.68337
01_noattack_nodefense,NoAttack,NoDefense,115,422,0.14596,37.00954,55.991519999999994,75.07953,0.0,0.22779,0.68337
01_noattack_nodefense,NoAttack,NoDefense,116,426,0.1445,36.9035,55.35525,75.60976000000001,0.0,0.22779,0.45558
01_noattack_nodefense,NoAttack,NoDefense,117,430,0.14306,37.32768,54.718979999999995,75.92788999999999,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,118,433,0.14164,37.96394,55.2492,75.29162000000001,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,119,437,0.14025,37.53977,55.885470000000005,76.77625,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,120,441,0.13889,37.75186,55.2492,75.39767,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,121,445,0.13753,37.645810000000004,56.52174,75.50371,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,122,448,0.13621,38.38812,56.94592000000001,76.45811,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,123,452,0.13491,37.53977,56.52174,75.29162000000001,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,124,456,0.13363,37.96394,55.2492,74.7614,0.0,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,125,459,0.13238,38.06999,55.991519999999994,75.60976000000001,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,126,463,0.13115,37.22163,55.885470000000005,75.18558,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,127,467,0.12993,37.53977,55.46129,74.86744,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,128,470,0.12874,36.37328,56.62778000000001,74.44327,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,129,474,0.12756,37.11559,56.52174,74.44327,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,130,478,0.1264,35.9491,55.56734,74.86744,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,131,481,0.12527,36.58537,55.037119999999994,74.86744,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,132,485,0.12416,37.75186,55.673379999999995,74.97349,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,133,489,0.12306,37.22163,56.41569,75.07953,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,134,492,0.12197,36.16119,55.56734,74.33722,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,135,496,0.12092,36.37328,56.203610000000005,73.91304,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,136,500,0.11987,35.84305,56.52174,74.97349,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,137,503,0.11883,37.645810000000004,54.61294,74.86744,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,138,507,0.11782,36.691410000000005,54.931070000000005,75.92788999999999,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,139,511,0.11683,37.75186,55.77943,75.60976000000001,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,140,515,0.11585,36.26723,54.931070000000005,74.65536,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,141,518,0.11488,36.58537,54.82503,74.33722,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,142,522,0.11393,36.58537,54.61294,74.54931,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,143,526,0.11299,37.53977,56.41569,74.7614,0.0,0.1139,0.56948
